"","linesRemove","Freq","class","city","p","medianDocMidDist"
"1000","download the new gola app",7,0,"California_Los Angeles",0.000192858717214018,0.116438356164384
"2625","rt citylajobs want a job as good as the first eight seasons of scrubs the city of los angeles is now hiring medical assistants",11,0,"California_Los Angeles",0.000303063698479171,0.282051282051282
"1314","for visitors",865,0,"California_Los Angeles",0.0238318271985894,0.19
"3316","translate",431,0,"California_Los Angeles",0.0118745867313203,0.41025641025641
"2844","take the chief of police qualities survey your opinion counts",248,0,"California_Los Angeles",0.0068327088384395,0.192307692307692
"1701","la city tweets",431,0,"California_Los Angeles",0.0118745867313203,0.230769230769231
"69","a free automated system used to send out alerts to the public about emergency and critical incidents notifyla can reach the public via recorded telephone messages text messages and emails",2,0,"California_Los Angeles",5.51024906325766e-05,0.0494505494505494
"554","channel",863,0,"California_Los Angeles",0.0237767247079568,0.141791044776119
"1699","la city construction matchmaking event",7,0,"California_Los Angeles",0.000192858717214018,0.114285714285714
"2659","search form",431,0,"California_Los Angeles",0.0118745867313203,0.175324675324675
"1672","jump to the footer",431,0,"California_Los Angeles",0.0118745867313203,0.448717948717949
"467","by los angeles police department on",12,0,"California_Los Angeles",0.00033061494379546,0.057088285229202
"1187","find jobs",867,0,"California_Los Angeles",0.023886929689222,0.176923076923077
"653","clase si hay objeciones el tribunal las en ese momento de la audiencia el tribunal",1,0,"California_Los Angeles",2.75512453162883e-05,0.352459016393443
"1277","for more information go to",6,0,"California_Los Angeles",0.00016530747189773,0.132911392405063
"514","call or",431,0,"California_Los Angeles",0.0118745867313203,0.41025641025641
"1299","for residents",867,0,"California_Los Angeles",0.023886929689222,0.21875
"2656","search",1729,0,"California_Los Angeles",0.0476361031518625,0.261194029850746
"383","blogs",241,0,"California_Los Angeles",0.00663985012122548,0.02
"65","affordable housing commission meeting",2,0,"California_Los Angeles",5.51024906325766e-05,0.0176470588235294
"2666","select an app icon to launch it",2,0,"California_Los Angeles",5.51024906325766e-05,0.309090909090909
"1779","lausd students who began classes in the fall and graduate in will be the first to qualify for the college promise which guarantees admission and a year of tuition free education on one of the nine campuses in the los angeles community college district the college promise will provide students with resources and support that ranges from tutoring and mentoring programs to financial literacy workshops",2,0,"California_Los Angeles",5.51024906325766e-05,0.0222222222222222
"3181","the terminal connector not only makes lax more accommodating for travelers it also displays our dedication to building environmentally friendly infrastructure said city councilmember bob blumenfield who chairs the innovation grants technology commerce and trade committee it sets a powerful precedent for future projects to uphold the same green standards and increase energy conservation",2,0,"California_Los Angeles",5.51024906325766e-05,0.0977011494252874
"773","council directory",42,0,"California_Los Angeles",0.00115715230328411,0.31294964028777
"3381","utulizando la horario de juntas o descargar la aplicacion app",1,0,"California_Los Angeles",2.75512453162883e-05,0.3
"974","disclaimer",433,0,"California_Los Angeles",0.0119296892219528,0.448717948717949
"3283","top",431,0,"California_Los Angeles",0.0118745867313203,0.5
"1449","home",1294,0,"California_Los Angeles",0.0356513114392771,0.145569620253165
"3221","through a collaboration with our partners on the local and federal level we have created an annual tradition to bring more people to the los angeles river said councilmember who represents the elysian valley neighborhood where the glendale narrows is located this is a great opportunity for angelenos to get on the water enjoy the wildlife experience the potential and enjoy nature near the birthplace of our great city",2,0,"California_Los Angeles",5.51024906325766e-05,0.117283950617284
"369","best weekly news show la this week",2,0,"California_Los Angeles",5.51024906325766e-05,0.0333333333333333
"3501","what if my battery dies",2,0,"California_Los Angeles",5.51024906325766e-05,0.110526315789474
"1960","mayor eric garcetti announces plan for a resilient los angeles",248,0,"California_Los Angeles",0.0068327088384395,0.179487179487179
"345","back to top",21,0,"California_Los Angeles",0.000578576151642054,0.0857142857142857
"1202","first and foremost we want to thank the public for your patience in dealing with the street closures resulting fro",230,0,"California_Los Angeles",0.00633678642274631,0.294871794871795
"978","discuss inclusion and race at embrace dinners",248,0,"California_Los Angeles",0.0068327088384395,0.166666666666667
"1393","gross mismanagement of resources including careless expenditures",2,0,"California_Los Angeles",5.51024906325766e-05,0.126666666666667
"3411","view more public notices",431,0,"California_Los Angeles",0.0118745867313203,0.371794871794872
"3331","tweets by mayorofla",431,0,"California_Los Angeles",0.0118745867313203,0.256410256410256
"1306","for the latest information on the la tuna canyon fire and instructions on what to do if you live in the affected area go to",2,0,"California_Los Angeles",5.51024906325766e-05,0.1
"2765","somewhat",4,0,"California_Los Angeles",0.000110204981265153,0.128571428571429
"2727","sign up for notifyla",5,0,"California_Los Angeles",0.000137756226581441,0.109090909090909
"638","city services",1295,0,"California_Los Angeles",0.0356788626845933,0.205128205128205
"2683","service feedback form",2,0,"California_Los Angeles",5.51024906325766e-05,0.0428571428571429
"3430","visitors",431,0,"California_Los Angeles",0.0118745867313203,0.346153846153846
"2446","professional clothing drive for homeless lgbtq youth",7,0,"California_Los Angeles",0.000192858717214018,0.0641025641025641
"2149","n spring st los angeles ca",431,0,"California_Los Angeles",0.0118745867313203,0.397435897435897
"3387","various locations",2,0,"California_Los Angeles",5.51024906325766e-05,0.320197044334975
"2007","menu",862,0,"California_Los Angeles",0.0237491734626405,0.365671641791045
"1247","for business",868,0,"California_Los Angeles",0.0239144809345382,0.204503676470588
"89","airport police specialist",2,0,"California_Los Angeles",5.51024906325766e-05,0.134980891719745
"258","art culture",2,0,"California_Los Angeles",5.51024906325766e-05,0.268361581920904
"911","departments bureaus",48,0,"California_Los Angeles",0.00132245977518184,0.217588795012714
"1801","learn more on our frequently asked questions page",3,0,"California_Los Angeles",8.26537359488649e-05,0.181159420289855
"1657","jobs",431,0,"California_Los Angeles",0.0118745867313203,0.333333333333333
"3412","view more tweets",431,0,"California_Los Angeles",0.0118745867313203,0.307692307692308
"711","como el de el salvador el libro el principito",234,0,"California_Los Angeles",0.00644699140401146,0.282051282051282
"1983","mayor garcetti directed his innovation team to design build test and launch that platform during the process the office collaborated closely with the city of san francisco which launched its own award winning portal in setting an example for how cities can share resources toward mutually beneficial progress",2,0,"California_Los Angeles",5.51024906325766e-05,0.05
"1670","jump to navigation",431,0,"California_Los Angeles",0.0118745867313203,0.487179487179487
"771","council committees",44,0,"California_Los Angeles",0.00121225479391669,0.224550898203593
"804","council rules",49,0,"California_Los Angeles",0.00135001102049813,0.187074829931973
"916","dept of recreation parks",13,0,"California_Los Angeles",0.000358166189111748,0.268361581920904
"2418","pothole small asphalt repair",1,0,"California_Los Angeles",2.75512453162883e-05,0.257575757575758
"1696","la city awards",431,0,"California_Los Angeles",0.0118745867313203,0.384615384615385
"1673","jump to the site map",431,0,"California_Los Angeles",0.0118745867313203,0.461538461538462
"2084","neighborhood councils",43,0,"California_Los Angeles",0.0011847035486004,0.241007194244604
"2174","offer comment on the housing and community investment decision to release funds for the florence mills apartments",434,0,"California_Los Angeles",0.0119572404672691,0.346153846153846
"1851","los angeles",468,0,"California_Los Angeles",0.0128939828080229,0.435064935064935
"1448","hollyhock curator jeffrey herr says the video tour will utilize three dimensional camera work and provide a near virtual view due to the camera angle helping people navigate through the house as if they are on a tour",2,0,"California_Los Angeles",5.51024906325766e-05,0.0903614457831325
"210","anterior a la fecha del acuerdo de la durante la vigencia del",1,0,"California_Los Angeles",2.75512453162883e-05,0.0901639344262295
"534","celebrate african american heritage month",248,0,"California_Los Angeles",0.0068327088384395,0.217948717948718
"2094","news dtla merchants selling counterfeit phone chargers because these pose a significant shock fire hazard",193,0,"California_Los Angeles",0.00531739034604364,0.276315789473684
"1446","history of los angeles",56,0,"California_Los Angeles",0.00154286973771214,0.176357335386985
"3310","toy reuse drive flyer",2,0,"California_Los Angeles",5.51024906325766e-05,0.0844155844155844
"421","business",433,0,"California_Los Angeles",0.0119296892219528,0.358974358974359
"3129","the port of los angeles is now accepting applications for its community investment grant program",434,0,"California_Los Angeles",0.0119572404672691,0.333333333333333
"1333","from los angeles will host dinners across every one of the districts that make up our city each dinner will consist of a chef a gathering of neighbors and a thoughtful dialogue centered on one of the most important topics of our time race attending is free apply at",2,0,"California_Los Angeles",5.51024906325766e-05,0.105263157894737
"382","blog",527,0,"California_Los Angeles",0.0145195062816839,0.0623529411764706
"588","city council meeting and committee calendar",48,0,"California_Los Angeles",0.00132245977518184,0.182942834921252
